Nama Broker,Kode Broker,Nama Emiten,Nama Perusahaan,Tanggal,Buy Value,Buy Lot,Buy Avg,Sell Value,Sell Lot,Sell Avg,Open Price,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Persentase Selisih
MANDIRI SEKURITAS,CC,PSAB,J Resources Asia Pasifik Tbk.,2/2/2026,13.3B,275.068,485,5.8B,120.679,479,498.0,500.0,520.0,468.0,468.0,-82.0,-17.52%
BNI Sekuritas,NI,PSAB,J Resources Asia Pasifik Tbk.,2/2/2026,5.6B,117.927,476,,,,498.0,500.0,520.0,468.0,468.0,-82.0,-17.52%
MANDIRI SEKURITAS,CC,PSDN,Prasidha Aneka Niaga Tbk,1/28/2026,50.5M,4.045,125,89.7M,6.776,132,142.0,142.0,144.0,123.0,123.0,-21.0,-17.07%
BNI Sekuritas,NI,PSDN,Prasidha Aneka Niaga Tbk,1/28/2026,7.1M,516,138,7.1M,503,142,142.0,142.0,144.0,123.0,123.0,-21.0,-17.07%
MANDIRI SEKURITAS,CC,PSDN,Prasidha Aneka Niaga Tbk,1/29/2026,42.4M,3.708,114,49.2M,4.306,114,121.0,120.0,129.0,105.0,118.0,-5.0,-4.24%
BNI Sekuritas,NI,PSDN,Prasidha Aneka Niaga Tbk,1/29/2026,11.7M,958,122,,,,121.0,120.0,129.0,105.0,118.0,-5.0,-4.24%
MANDIRI SEKURITAS,CC,PSDN,Prasidha Aneka Niaga Tbk,1/30/2026,5.5M,453,121,1.7M,135,123,130.0,127.0,130.0,118.0,122.0,4.0,3.28%
BRI Danareksa Sekuritas,OD,PSDN,Prasidha Aneka Niaga Tbk,1/30/2026,1.1M,86,124,989K,82,121,130.0,127.0,130.0,118.0,122.0,4.0,3.28%
MANDIRI SEKURITAS,CC,PSDN,Prasidha Aneka Niaga Tbk,2/2/2026,4M,358,112,4.7M,421,112,123.0,124.0,124.0,105.0,107.0,-15.0,-14.02%
BRI Danareksa Sekuritas,OD,PSDN,Prasidha Aneka Niaga Tbk,2/2/2026,5.2M,443,117,6.1M,552,111,123.0,124.0,124.0,105.0,107.0,-15.0,-14.02%
MANDIRI SEKURITAS,CC,PSDN,,2/3/2026,,,,1.4M,128,107,,,,,,,
BNI Sekuritas,NI,PSDN,,2/3/2026,22.2K,2,111,769K,70,110,,,,,,,
BRI Danareksa Sekuritas,OD,PSDN,,2/3/2026,30K,3,100,118.9K,11,108,,,,,,,
MANDIRI SEKURITAS,CC,PSDN,,2/4/2026,,,,1.4M,128,107,,,,,,,
BNI Sekuritas,NI,PSDN,,2/4/2026,22.2K,2,111,769K,70,110,,,,,,,
BRI Danareksa Sekuritas,OD,PSDN,,2/4/2026,30K,3,100,118.9K,11,108,,,,,,,
MANDIRI SEKURITAS,CC,PSKT,Red Planet Indonesia Tbk.,1/28/2026,14.1B,472.942,298,4.2B,137.595,306,296.0,296.0,322.0,296.0,296.0,-50.0,-16.89%
BNI Sekuritas,NI,PSKT,Red Planet Indonesia Tbk.,1/28/2026,3.1B,105.122,299,1.1B,35.173,303,296.0,296.0,322.0,296.0,296.0,-50.0,-16.89%
BRI Danareksa Sekuritas,OD,PSKT,Red Planet Indonesia Tbk.,1/28/2026,6B,203.949,296,1.2B,39.39,298,296.0,296.0,322.0,296.0,296.0,-50.0,-16.89%
MANDIRI SEKURITAS,CC,PSKT,Red Planet Indonesia Tbk.,1/29/2026,4.7B,174.595,269,5B,180.398,276,284.0,294.0,304.0,252.0,278.0,-18.0,-6.47%
BNI Sekuritas,NI,PSKT,Red Planet Indonesia Tbk.,1/29/2026,,,,522.1M,19.131,273,284.0,294.0,304.0,252.0,278.0,-18.0,-6.47%
